127.0.0.1 - - [27/Apr/2023:14:46:23 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:46:24 +0900] "GET /day01/templates/2yong/2yong.jsp HTTP/1.1" 200 26335
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:46:24 +0900] "GET /day01/static/css/2yong/2yong.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:46:24 +0900] "GET /day01/static/image/3.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:46:24 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:46:40 +0900] "GET /day01/templates/mypage/carelist.jsp HTTP/1.1" 200 4485
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:46:40 +0900] "GET /day01/static/css/mypage/carelist.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:46:40 +0900] "GET /day01/static/js/header.js HTTP/1.1" 404 844
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:46:40 +0900] "GET /day01/static/js/mypage/header.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:46:46 +0900] "GET /day01/templates/mypage/reservationlist.jsp HTTP/1.1" 200 4388
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:46:46 +0900] "GET /day01/static/css/mypage/reservationlist.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:46:51 +0900] "GET /day01/templates/mypage/review.jsp HTTP/1.1" 200 5017
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:46:51 +0900] "GET /day01/static/css/mypage/review.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:47:06 +0900] "GET /day01/templates/mypage/petsitterform.jsp HTTP/1.1" 200 2939
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:47:06 +0900] "GET /day01/static/css/mypage/petsitterform.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:47:08 +0900] "GET /day01/templates/mypage/info.jsp HTTP/1.1" 200 8053
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:47:08 +0900] "GET /day01/static/css/mypage/info.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:47:08 +0900] "GET /day01/static/js/mypage/input.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:47:08 +0900] "GET /day01/static/js/mypage/onclick.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:47:22 +0900] "GET /day01/templates/mypage/review.jsp HTTP/1.1" 200 5017
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:47:23 +0900] "GET /day01/templates/mypage/reservationlist.jsp HTTP/1.1" 200 4388
0:0:0:0:0:0:0:1 - - [27/Apr/2023:14:47:25 +0900] "GET /day01/templates/mypage/review.jsp HTTP/1.1" 200 5017
